Accession,Description,Genome Length (KB),molGC (%),Genus,Sub-family,Family,Host,Genome composition,Phage Species
MT708550,Achromobacter phage Mano,42,64,Manovirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_5300
NC_054147,Achromobacter phage Mano,42,64,Manovirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_5300
OQ817837,Achromobacter phage kwar_LB4,33,53,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_7493
JX507079,Acidithiobacillus phage AcaML1,59,65,Unclassified,Unclassified,Unclassified,Acidithiobacillus,dsDNA,vOTU_2297
MH142219,Acidithiobacillus phage AcaML1,59,65,Unclassified,Unclassified,Unclassified,Acidithiobacillus,dsDNA,vOTU_2297
MH142220,Acidithiobacillus phage AcaML1,59,65,Unclassified,Unclassified,Unclassified,Acidithiobacillus,dsDNA,vOTU_2297
KY979132,Acidovorax phage ACP17,156,59,Busanvirus,Unclassified,Unclassified,Acidovorax,dsDNA,vOTU_0575
NC_041997,Acidovorax phage ACP17,156,59,Busanvirus,Unclassified,Unclassified,Acidovorax,dsDNA,vOTU_0575
MZ547449,Acidovorax phage ACF1,59,64,Unclassified,Unclassified,Unclassified,Acidovorax,dsDNA,vOTU_2295
OM049504,Acidovorax phage AP1,56,65,Unclassified,Unclassified,Unclassified,Acidovorax,dsDNA,vOTU_2670
MH727593,Acidovorax phage ACPWH,42,64,Unclassified,Unclassified,Unclassified,Acidovorax,dsDNA,vOTU_2295
OP131587,Acidovorax phage Alfacinha3,41,65,Unclassified,Unclassified,Peduoviridae,Acidovorax,dsDNA,vOTU_6054
OP131590,Acidovorax phage Alfacinha1,40,65,Unclassified,Unclassified,Peduoviridae,Acidovorax,dsDNA,vOTU_6054
OP131589,Acidovorax phage Aval,40,66,Unclassified,Unclassified,Unclassified,Acidovorax,dsDNA,vOTU_6431
OP131588,Acidovorax phage Acica,37,68,Unclassified,Unclassified,Peduoviridae,Acidovorax,dsDNA,vOTU_6936
KU935715,Acinetobacter phage vB_AbaM_ME3,235,31,Metrivirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_0163
NC_041884,Acinetobacter phage vB_AbaM_ME3,235,31,Metrivirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_0163
HM004124,Acinetobacter phage Acj9,170,40,Acajnonavirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0408
NC_014663,Acinetobacter phage Acj9,170,40,Acajnonavirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0408
OZ038336,Acinetobacter phage vB_AbaM_PhT2-v2,170,36,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_0410
MT949699,Acinetobacter phage Maestro,169,36,Hadassahvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0410
MW388004,Acinetobacter phage Morttis,169,36,Hadassahvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0410
MK278860,Acinetobacter phage AbTZA1,168,36,Hadassahvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0410
MN732883,Acinetobacter phage vB_AbaM_Kimel,168,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
HM032710,Acinetobacter phage Ac42,168,36,Unclassified,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0436
NC_014660,Acinetobacter phage Ac42,168,36,Unclassified,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0436
MT741943,Acinetobacter phage Meroveus,168,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
MW388002,Acinetobacter phage Mokit,168,36,Hadassahvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0410
MW388003,Acinetobacter phage Melin,168,36,Hadassahvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0410
NC_049445,Acinetobacter phage AbTZA1,168,36,Hadassahvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0410
NC_049492,Acinetobacter phage vB_AbaM_Kimel,168,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
OL770262,Acinetobacter phage AC4,168,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
OQ627712,Acinetobacter phage AB1I1M-1,168,35,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_0427
HQ698922,Acinetobacter phage ZZ1,167,34,Zedzedvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0444
MH713599,Acinetobacter phage KARL-1,167,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
MK240351,Acinetobacter phage Henu6,167,34,Zedzedvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0444
MT385367,Acinetobacter phage Abraxas,167,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
MT409116,Acinetobacter phage Octan,167,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
MW388001,Acinetobacter phage Minot,167,36,Hadassahvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0410
NC_018087,Acinetobacter phage ZZ1,167,34,Zedzedvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0444
NC_049441,Acinetobacter phage KARL-1,167,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
OL770259,Acinetobacter phage AB-Navy4,167,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
OZ075066,Acinetobacter phage vB_AbaM_AB-Navy-v2,167,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_0430
PP174317,Acinetobacter phage vB_AbaSt_W16,167,34,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_0444
MH165274,Acinetobacter phage AM101,166,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
MH460829,Acinetobacter phage vB_ApiM_fHyAci03,166,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
MN648195,Acinetobacter phage vB_AbaM_Konradin,166,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
MN709128,Acinetobacter phage vB_AbaM_Berthold,166,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
MN864865,Acinetobacter phage vB_AbaM_PhT2,166,36,Hadassahvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0410
NC_049438,Acinetobacter phage vB_ApiM_fHyAci03,166,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
NC_049479,Acinetobacter phage vB_AbaM_Konradin,166,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
NC_049490,Acinetobacter phage vB_AbaM_Berthold,166,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
NC_049494,Acinetobacter phage vB_AbaM_PhT2,166,36,Hadassahvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0410
NC_049511,Acinetobacter phage AM101,166,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
OL770258,Acinetobacter phage AB-Navy1,166,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
OL770260,Acinetobacter phage AB-Navy71,166,36,Hadassahvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0410
PQ034586,Acinetobacter phage vB_AbaM_DLP3,166,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
MN723850,Acinetobacter phage vB_AbaM_Apostate,165,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
MN782535,Acinetobacter phage vB_AbaM_Lazarus,165,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
CAKLQC020000001,Acinetobacter phage MD-2021a,165,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_0430
CAKLQD020000001,Acinetobacter phage MD-2021a,165,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_0430
NC_049491,Acinetobacter phage vB_AbaM_Apostate,165,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
NC_049493,Acinetobacter phage vB_AbaM_Lazarus,165,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
OL763420,Acinetobacter phage PhaR5,165,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
OL770261,Acinetobacter phage AB-Navy97,165,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
OP946502,Acinetobacter phage vB_AbaM_DLP2,165,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
OZ038339,Acinetobacter phage vB_AbaM_Konradin-v2,165,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_0430
GU911519,Acinetobacter phage Acj61,164,39,Lasallevirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0469
MN662249,Acinetobacter phage Stupor,164,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
NC_014661,Acinetobacter phage Acj61,164,39,Lasallevirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0469
OP585103,Acinetobacter phage vB_AbaM_DP45,164,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
OP946501,Acinetobacter phage vB_AbaM_DLP1,164,37,Lazarusvirus,Twarogvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0430
HM114315,Acinetobacter phage 133,160,40,Unclassified,Tevenvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0526
NC_015250,Acinetobacter phage 133,160,40,Unclassified,Tevenvirinae,Straboviridae,Acinetobacter,dsDNA,vOTU_0526
MH533020,Acinetobacter phage ABPH49,150,51,Unclassified,Vequintavirinae,Unclassified,Acinetobacter,dsDNA,vOTU_0626
OP562383,Acinetobacter phage vB_AbaM_ ABPW7,149,39,Phapecoctavirus,Stephanstirmvirinae,Unclassified,Acinetobacter,dsDNA,vOTU_0574
MH517022,Acinetobacter phage SH-Ab 15599,143,38,Unclassified,Unclassified,Ackermannviridae,Acinetobacter,dsDNA,vOTU_0701
OQ032512,Acinetobacter phage nACB2,137,39,Unclassified,Unclassified,Ackermannviridae,Acinetobacter,dsDNA,vOTU_0773
OP917929,Acinetobacter phage vB_AbaP_HB01,113,38,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_0984
OL960030,Acinetobacter phage vB_AbaM_P1,108,38,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_0984
KJ628499,Acinetobacter phage vB_AbaM_phiAbaA1,105,38,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1068
NC_031280,Acinetobacter phage vB_AbaM_phiAbaA1,105,38,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1068
MH800198,Acinetobacter phage vB_AbaM_B09_Aci01-1,104,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1074
MH800199,Acinetobacter phage vB_AbaM_B09_Aci02-2,104,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1074
MT188223,Acinetobacter phage vB_AbaM_D22,104,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1083
NC_048074,Acinetobacter phage vB_AbaM_B09_Aci01-1,104,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1074
NC_048075,Acinetobacter phage vB_AbaM_B09_Aci02-2,104,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1074
OZ038337,Acinetobacter phage vB_AbaM_Rocket,104,38,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1068
MH746814,Acinetobacter phage vB_AbaM_B09_Aci05,103,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1074
NC_048080,Acinetobacter phage vB_AbaM_B09_Aci05,103,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1074
OZ038335,Acinetobacter phage vB_AbaM_KissB,103,38,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1068
MK170160,Acinetobacter phage TAC1,102,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1095
MT623546,Acinetobacter phage Ab_121,102,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1074
OP585105,Acinetobacter phage vB_AbaM_CP14,102,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1074
MW349133,Acinetobacter phage Liucustia,101,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1074
KJ473422,Acinetobacter phage vB_AbaM_Acibel004,100,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1121
NC_025462,Acinetobacter phage vB_AbaM_Acibel004,100,37,Saclayvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1121
KM672662,Acinetobacter phage YMC13/03/R2096,98,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1143
MW316733,Acinetobacter phage Bestia,98,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1143
NC_027332,Acinetobacter phage YMC13/03/R2096,98,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1143
OR180307,Acinetobacter phage P577,98,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1143
KY000079,Acinetobacter phage AM24,97,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1156
MW316731,Acinetobacter phage Mithridates,97,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1160
MW316732,Acinetobacter phage Herod,97,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1152
MH133207,Acinetobacter phage vB_AbaM_B9,94,33,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1203
MN276049,Acinetobacter phage BS46,94,33,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1190
MZ043613,Acinetobacter phage TaPaz,94,33,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1202
MZ477002,Acinetobacter phage Phab24,94,34,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1205
CAKLQE020000001,Acinetobacter phage MD-2021a,92,33,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1245
CAKLQH020000015,Acinetobacter phage MD-2021a,92,33,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1245
OQ717042,Acinetobacter phage EAb13,82,40,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1406
OQ032511,Acinetobacter phage nACB1,80,39,Unclassified,Unclassified,Schitoviridae,Acinetobacter,dsDNA,vOTU_1443
ON323491,Acinetobacter phage vB_AbaS_TCUP2199,80,40,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1444
MN508356,Acinetobacter phage VB_ApiP_XC38,79,40,Exceevirus,Unclassified,Schitoviridae,Acinetobacter,dsDNA,vOTU_1450
NC_055823,Acinetobacter phage VB_ApiP_XC38,79,40,Exceevirus,Unclassified,Schitoviridae,Acinetobacter,dsDNA,vOTU_1450
KF669658,Acinetobacter phage Presley,78,38,Presleyvirus,Unclassified,Schitoviridae,Acinetobacter,dsDNA,vOTU_1483
NC_023581,Acinetobacter phage Presley,78,38,Presleyvirus,Unclassified,Schitoviridae,Acinetobacter,dsDNA,vOTU_1483
OQ471969,Acinetobacter phage vB_AbaM_ABMM1,76,37,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1573
OK149216,Acinetobacter phage vB_IME_Ab2712,75,43,Unclassified,Unclassified,Schitoviridae,Acinetobacter,dsDNA,vOTU_1611
CAKLQF020000022,Acinetobacter phage MD-2021a,70,40,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1751
CAKLQF020000023,Acinetobacter phage MD-2021a,69,35,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1769
CAKLQH020000019,Acinetobacter phage MD-2021a,69,35,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1769
OQ101254,Acinetobacter phage Acba_11,67,40,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1846
KT588073,Acinetobacter phage Ab105-3phi,64,39,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1952
KT588075,Acinetobacter phage Ab105-2phi,61,39,Vieuvirus,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_2098
OQ101257,Acinetobacter phage Acba_15,60,40,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_2180
OQ101249,Acinetobacter phage Acba_4,57,40,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_2180
OQ101248,Acinetobacter phage Acba_3,55,40,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1846
OQ101255,Acinetobacter phage Acba_13,55,40,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1846
OQ101256,Acinetobacter phage Acba_14,55,40,Unclassified,Unclassified,Unclassified,Acinetobacter,dsDNA,vOTU_1846
